,date,tau_day,maturity_day,total,t0_payoff,T_payoff,trade,kernel,M,exp_total,id
0,2020-03-06,7,2020-03-13,-234.61,17.21,-251.82,K1,1.0,1.74,0.0,0
1,2020-03-06,14,2020-03-20,-420.77,81.03,-501.81,K1,1.0,1.45,0.01,1
2,2020-03-06,21,2020-03-27,-1204.26,297.57,-1501.83,K1,1.0,1.36,-0.02,2
277,2020-03-06,49,2020-04-24,-475.21,-46.8,-428.41,S1,1.0,1.2,-0.0,3
438,2020-03-06,112,2020-06-26,-526.13,-526.13,0.0,S1,1.0,1.0,0.02,4
3,2020-03-07,13,2020-03-20,-396.28,105.55,-501.83,K1,1.0,1.44,0.0,5
4,2020-03-07,20,2020-03-27,-1283.83,217.94,-1501.77,K1,1.0,1.35,-0.01,6
278,2020-03-07,48,2020-04-24,-456.51,-28.1,-428.41,S1,1.0,1.2,0.02,7
439,2020-03-07,111,2020-06-26,-487.1,-487.1,0.0,S1,1.0,1.0,0.04,8
5,2020-03-08,12,2020-03-20,-198.73,53.02,-251.75,K1,1.0,1.39,0.01,9
6,2020-03-08,19,2020-03-27,-1126.33,146.46,-1272.79,K1,1.0,1.3,-0.02,10
279,2020-03-08,47,2020-04-24,-175.92,-175.92,0.0,S1,1.0,1.16,0.02,11
440,2020-03-08,110,2020-06-26,-252.78,-252.78,0.0,S1,1.0,0.96,0.07,12
7,2020-03-09,11,2020-03-20,-660.19,34.31,-694.5,S1,1.0,1.25,0.01,13
8,2020-03-09,18,2020-03-27,39.96,312.75,-272.79,K1,1.0,1.18,-0.01,14
280,2020-03-09,46,2020-04-24,-44.69,-44.69,0.0,S1,1.0,1.04,-0.01,15
441,2020-03-09,109,2020-06-26,-103.83,-103.83,0.0,S1,1.0,0.87,0.01,16
9,2020-03-10,10,2020-03-20,0.0,0.0,0.0,-,1.0,1.25,,17
10,2020-03-10,17,2020-03-27,-287.87,-15.08,-272.79,S1,1.0,1.17,-0.0,18
281,2020-03-10,45,2020-04-24,-69.18,-69.18,0.0,S1,1.0,1.04,0.04,19
442,2020-03-10,108,2020-06-26,-139.96,-139.96,0.0,S1,1.0,0.87,0.03,20
11,2020-03-11,9,2020-03-20,-686.58,7.92,-694.5,S1,1.0,1.25,0.0,21
12,2020-03-11,16,2020-03-27,-250.35,22.44,-272.79,S1,1.0,1.17,0.02,22
